FechaID,Fecha,Año,Mes,Día,Trimestre
1,2024-01-01,2024,1,1,1
2,2024-01-02,2024,1,2,1
3,2024-01-03,2024,1,3,1
4,2024-01-04,2024,1,4,1
5,2024-01-05,2024,1,5,1
6,2024-01-06,2024,1,6,1
7,2024-01-07,2024,1,7,1
8,2024-01-08,2024,1,8,1
9,2024-01-09,2024,1,9,1
10,2024-01-10,2024,1,10,1
11,2024-01-11,2024,1,11,1
12,2024-01-12,2024,1,12,1
13,2024-01-13,2024,1,13,1
14,2024-01-14,2024,1,14,1
15,2024-01-15,2024,1,15,1
16,2024-01-16,2024,1,16,1
17,2024-01-17,2024,1,17,1
18,2024-01-18,2024,1,18,1
19,2024-01-19,2024,1,19,1
20,2024-01-20,2024,1,20,1
21,2024-01-21,2024,1,21,1
22,2024-01-22,2024,1,22,1
23,2024-01-23,2024,1,23,1
24,2024-01-24,2024,1,24,1
25,2024-01-25,2024,1,25,1
26,2024-01-26,2024,1,26,1
27,2024-01-27,2024,1,27,1
28,2024-01-28,2024,1,28,1
29,2024-01-29,2024,1,29,1
30,2024-01-30,2024,1,30,1
31,2024-01-31,2024,1,31,1
32,2024-02-01,2024,2,1,1
33,2024-02-02,2024,2,2,1
34,2024-02-03,2024,2,3,1
35,2024-02-04,2024,2,4,1
36,2024-02-05,2024,2,5,1
37,2024-02-06,2024,2,6,1
38,2024-02-07,2024,2,7,1
39,2024-02-08,2024,2,8,1
40,2024-02-09,2024,2,9,1
41,2024-02-10,2024,2,10,1
42,2024-02-11,2024,2,11,1
43,2024-02-12,2024,2,12,1
44,2024-02-13,2024,2,13,1
45,2024-02-14,2024,2,14,1
46,2024-02-15,2024,2,15,1
47,2024-02-16,2024,2,16,1
48,2024-02-17,2024,2,17,1
49,2024-02-18,2024,2,18,1
50,2024-02-19,2024,2,19,1
51,2024-02-20,2024,2,20,1
52,2024-02-21,2024,2,21,1
53,2024-02-22,2024,2,22,1
54,2024-02-23,2024,2,23,1
55,2024-02-24,2024,2,24,1
56,2024-02-25,2024,2,25,1
57,2024-02-26,2024,2,26,1
58,2024-02-27,2024,2,27,1
59,2024-02-28,2024,2,28,1
60,2024-02-29,2024,2,29,1
61,2024-03-01,2024,3,1,1
62,2024-03-02,2024,3,2,1
63,2024-03-03,2024,3,3,1
64,2024-03-04,2024,3,4,1
65,2024-03-05,2024,3,5,1
66,2024-03-06,2024,3,6,1
67,2024-03-07,2024,3,7,1
68,2024-03-08,2024,3,8,1
69,2024-03-09,2024,3,9,1
70,2024-03-10,2024,3,10,1
71,2024-03-11,2024,3,11,1
72,2024-03-12,2024,3,12,1
73,2024-03-13,2024,3,13,1
74,2024-03-14,2024,3,14,1
75,2024-03-15,2024,3,15,1
76,2024-03-16,2024,3,16,1
77,2024-03-17,2024,3,17,1
78,2024-03-18,2024,3,18,1
79,2024-03-19,2024,3,19,1
80,2024-03-20,2024,3,20,1
81,2024-03-21,2024,3,21,1
82,2024-03-22,2024,3,22,1
83,2024-03-23,2024,3,23,1
84,2024-03-24,2024,3,24,1
85,2024-03-25,2024,3,25,1
86,2024-03-26,2024,3,26,1
87,2024-03-27,2024,3,27,1
88,2024-03-28,2024,3,28,1
89,2024-03-29,2024,3,29,1
90,2024-03-30,2024,3,30,1
91,2024-03-31,2024,3,31,1
92,2024-04-01,2024,4,1,2
93,2024-04-02,2024,4,2,2
94,2024-04-03,2024,4,3,2
95,2024-04-04,2024,4,4,2
96,2024-04-05,2024,4,5,2
97,2024-04-06,2024,4,6,2
98,2024-04-07,2024,4,7,2
99,2024-04-08,2024,4,8,2
100,2024-04-09,2024,4,9,2
